,Test Cases,,,,,,
Test #,Instruction,Code,Expected Result,Expected Result (Binary),Test Condition,Summary,Success?
1,"MOV AL r0,#1
ADD AL r1,r0
SYS AL","4001
0110
9800",reg1 = 1,"reg0 = 0000000000000001
reg1 = 0000000000000001",Register dependence,"1. r0=1
2. r1=r0+r1
3. Expected result: r1==1",yes
2,"MOV AL r0,#4
ADD AL r1,r0
SYS AL","4004
0110
9800",reg1 = 4,"reg0 = 0000000000000100
reg1 = 0000000000000100",Register dependence,"1. Set r0=4
2. r1=r1+r0
3. Expected result: r1==4",yes
3,"MUL S r0,#0
MOV EQ r1,#1
ADD AL r1,r0
SYS AL","4a00
4411
0110
9800",reg1 = 1,reg1 = 0000000000000001,Conditional and register dependencies,"1. r0 = r0*0; ZeroFlag=1
2. if(ZeroFlag) r1=1
3. r1=r0+r1
4. Expected result: r1==1",yes
4,"MOV S r0,#0
MOV NE r1,#2
MOV AL r1,#4
MOV AL r0,r1
SYS AL","4200
4612
4014
4101
9800",reg0 = 4,"reg0 = 0000000000000100
reg1 = 0000000000000100",Conditional and register dependencies,"1. r0=0; ZeroFlag=1
2. if(!ZeroFlag) r1=2
3. if(ZeroFlag) r1=4
4. r0=r1
5. Expected result: r0==4",yes
5,"MOV AL r0,#2
MOV AL r1,#5
MOV S r2,#0
MUL EQ r0,r1
MOV AL r2,r0
SYS AL","4002
4015
4220
4d01
4120
9800",reg2 = 10,reg2 = 0000000000001010,Conditional dependencies and multiplication,"1. r0=2
2. r1=5
3. r2=0; ZeroFlag=1
4. if(ZeroFlag) r0=r0*r1
5. r2=r0
6. Expected result: r2==10",yes
6,"MOV AL r0,#5
MOV AL r1,#1
STR AL r0,[r1]
LDR AL r2,[r1]
SYS AL","4005
4011
7901
3921
9800",reg2 = 5,reg2 = 0000000000000101,Memory dependence,"1. r0=5
2. r1=1
3. memory[r1]=r0
4. r2=memory[r1]
5. Expected result: r2==5",yes
7,"MOV AL r0,#6
MOV AL r1,#1
MOV S r2,#0
STR EQ r0,[r1]
LDR AL r3,[r1]
SYS AL","4006
4011
4220
7d01
3931
9800",reg3 = 6,reg3 = 0000000000000110,Conditional and memory dependencies,"1. r0=6
2. r1=1
3. r2=0; ZeroFlag=1
4. if(ZeroFlag) memory[r1]=r0
5. r3=memory[r1]
6. Expected result: r3==6",yes
8,"ADD AL r0, #6
ADD AL r1, #1
MOV AL r15, #6
SYS AL
SYS AL
SYS AL
ADD AL r1, r0
ADD AL r0, #5
ADD AL r0, #6
ADD AL r0, #5
ADD AL r1, r0
SYS AL","0006
0011
40f6
9800
9800
9800
0110
0005
0006
0005
0110
9800","reg0 = 22
reg1 = 29","reg0 = 0000000000010110
reg1 = 0000000000011101",Jumps,"1. r0=6
2. r1=r1+1
3. r15(instruction#)=7
4. End Program
5. End Program
6. End Program
7. r1=r1+r0
8. r0=r0+5
9. r0=r0+6
10. r0=r0+5
11. r1=r1+r0
12. Expected result: r0==22; r1==29",yes
9,"MOV AL r3, #7 
MOV AL r0, #1 
SUB S r3, r0 
MOV EQ r15, #6 
ADD NE r1, #1 
MOV AL r15, #1
MOV AL r2, #42 
SYS AL",4037 4001 8b30 44f6 0611 40f1 c002 402a 9800,"reg0 = 1
reg1 = 6
reg2 = 42
reg3 = 0","reg0 = 0000000000000001
reg1 = 0000000000000110
reg2 = 0000000000101010
reg3 = 0000000000000000",Jumps with loop,"1. r3=7
2. r0=1
3. r3=r3-r0; ZeroFlag=0
4. if(ZeroFlag) r15(instruction#)=7
5. if(!ZeroFlag) r1=r1+1
6. r15(instruction#)=1 (jump back to line 2)
7. r2=42 (next line is carryover because constant>7)
8. Expected result: r0==1; r1==6; r2==42; r3==0",yes
